time,sipa,bluematt,dashjr,bitcoinstats,schnelli,todd,provoost,emzy,wiz
2023-11-05,9,6,3,14,3,9,9,9,4
2023-11-06,9,7,2,14,5,7,8,10,5
2023-11-07,10,8,7,15,4,10,9,12,6
2023-11-08,9,6,3,12,6,11,9,11,7
2023-11-09,12,5,2,10,4,10,5,8,3
2023-11-10,10,5,3,14,6,8,9,9,10
2023-11-11,10,7,3,13,3,7,7,12,6
2023-11-12,12,8,2,12,4,9,10,10,9
2023-11-13,10,6,3,16,4,9,7,11,7
2023-11-14,13,3,3,18,7,6,7,8,5
2023-11-15,9,6,4,19,6,8,6,12,7
2023-11-16,7,6,2,16,4,7,8,8,7
2023-11-17,12,7,4,12,7,8,7,8,5
2023-11-18,8,3,3,11,7,10,8,8,5
2023-11-19,6,3,2,14,8,11,6,12,5
2023-11-20,10,3,3,15,4,10,9,7,6
2023-11-21,9,3,3,16,7,8,10,14,8
2023-11-22,9,2,3,11,7,10,8,10,4
2023-11-23,9,7,2,13,8,7,9,12,4
2023-11-24,11,7,2,13,6,9,7,8,6
2023-11-25,8,7,3,13,6,9,7,12,6
2023-11-26,12,6,2,18,7,8,8,9,5
2023-11-27,8,4,3,18,4,9,9,11,4
2023-11-28,7,5,3,14,6,8,11,8,7
2023-11-29,11,6,2,17,4,9,7,8,5
2023-11-30,12,5,4,14,6,9,8,9,8
2023-12-01,11,8,3,15,7,10,10,11,4
2023-12-02,8,5,2,12,5,9,9,11,5
2023-12-03,11,5,4,14,5,13,10,11,5
2023-12-04,9,7,2,14,7,9,6,10,7
2023-12-05,9,5,4,15,5,8,8,7,4
2023-12-06,12,5,3,16,5,8,8,9,5
2023-12-07,9,4,3,16,8,9,9,13,5
2023-12-08,9,5,3,15,6,9,9,9,7
2023-12-09,12,4,2,18,9,8,9,9,7
2023-12-10,9,5,3,16,6,8,8,10,6
2023-12-11,13,5,3,16,6,8,9,9,6
2023-12-12,9,8,2,15,5,7,7,9,7
2023-12-13,11,10,4,16,8,8,10,12,4
2023-12-14,9,7,4,17,4,8,7,10,7
2023-12-15,11,4,3,18,7,8,5,8,6
2023-12-16,8,8,3,15,6,7,7,10,6
2023-12-17,9,6,3,18,7,8,5,9,6
2023-12-18,9,7,3,14,6,7,8,8,5
2023-12-19,13,5,2,16,5,8,8,8,7
2023-12-20,8,8,4,17,7,7,8,13,7
2023-12-21,11,6,3,16,7,7,5,11,7
