time,sipa,bluematt,dashjr,bitcoinstats,schnelli,todd,provoost,emzy,wiz
2023-06-28,5,5,2,0,1,2,4,8,2
2023-06-29,3,0,3,1,0,2,3,1,3
2023-06-30,6,2,3,1,0,4,2,2,0
2023-07-01,10,3,3,2,1,2,6,7,3
2023-07-02,4,4,3,2,2,2,2,3,5
2023-07-03,5,1,4,0,0,6,2,0,1
2023-07-04,4,1,1,4,2,5,0,2,1
2023-07-05,6,1,3,3,0,2,3,3,1
2023-07-06,5,3,2,3,0,3,1,5,4
2023-07-07,3,3,1,2,0,2,1,2,2
2023-07-08,6,2,4,2,1,0,5,6,3
2023-07-09,8,3,2,0,0,0,4,5,2
2023-07-10,2,3,3,1,1,3,1,4,2
2023-07-11,6,5,4,3,1,2,3,5,5
2023-07-12,1,2,1,2,1,2,2,3,2
2023-07-13,5,1,0,1,1,0,3,3,2
2023-07-14,3,1,4,3,1,1,6,6,1
2023-07-15,6,2,4,0,0,5,6,3,2
2023-07-16,4,0,2,1,0,1,3,3,1
2023-07-17,6,0,3,0,0,3,1,7,1
2023-07-18,3,1,1,2,0,1,1,3,2
2023-07-19,1,4,1,1,1,1,0,1,4
2023-07-20,4,4,5,1,0,0,3,5,5
2023-07-21,3,3,4,0,2,1,3,2,3
2023-07-22,3,1,4,1,1,4,2,4,0
2023-07-23,1,3,1,2,0,2,1,2,2
2023-07-24,2,3,2,0,0,1,1,4,5
2023-07-25,3,1,2,0,0,1,4,2,1
2023-07-26,3,4,5,0,0,9,3,3,4
2023-07-27,6,4,4,1,1,4,5,5,4
2023-07-28,4,7,3,2,1,1,3,3,9
2023-07-29,10,2,6,2,1,5,0,7,2
2023-07-30,2,2,3,0,2,3,5,2,2
2023-07-31,3,2,6,1,1,2,5,6,4
2023-08-01,6,2,3,1,1,3,3,4,2
2023-08-02,5,4,1,0,1,3,0,5,5
2023-08-03,1,6,0,0,0,2,1,2,4
2023-08-04,5,5,3,1,0,2,2,6,5
2023-08-05,7,5,2,1,0,10,5,9,4
2023-08-06,6,7,5,2,3,0,2,5,6
2023-08-07,5,5,2,0,2,2,0,3,4
2023-08-08,2,2,2,1,0,3,3,1,3
2023-08-09,2,2,2,0,0,2,1,2,1
2023-08-10,4,4,0,2,0,0,3,6,3
2023-08-11,1,3,0,0,0,1,2,0,3
2023-08-12,8,5,2,1,1,2,2,7,2
2023-08-13,4,5,5,0,1,4,4,5,4
2023-08-14,4,2,3,1,0,3,0,2,1
2023-08-15,4,4,1,0,0,0,2,3,7
2023-08-16,7,6,3,1,0,1,4,7,5
2023-08-17,3,5,1,0,0,1,1,0,3
2023-08-18,7,2,5,0,1,2,5,6,2
2023-08-19,4,4,7,3,1,5,2,5,4
2023-08-20,9,4,4,0,1,3,6,8,3
2023-08-21,7,2,2,0,0,4,3,5,2
2023-08-22,1,1,1,0,1,1,2,3,2
2023-08-23,5,2,6,0,0,3,3,6,4
2023-08-24,7,3,3,0,0,2,6,3,1
2023-08-25,7,4,5,1,0,2,1,7,6
2023-08-26,5,4,3,1,1,3,4,1,5
2023-08-27,4,8,5,0,1,4,4,7,7
2023-08-28,3,3,4,0,1,3,2,1,1
2023-08-29,1,1,2,0,1,2,0,3,2
2023-08-30,5,4,5,0,1,4,3,5,3
2023-08-31,1,6,3,0,1,2,3,5,5
2023-09-01,5,6,1,1,1,5,3,6,6
2023-09-02,3,4,2,2,2,2,2,3,4
2023-09-03,3,2,1,1,1,2,1,3,2
2023-09-04,3,2,1,0,1,2,2,2,1
2023-09-05,1,1,1,2,0,1,2,2,2
2023-09-06,3,4,5,2,1,1,2,3,3
2023-09-07,8,6,4,0,1,7,5,6,7
2023-09-08,4,4,2,1,2,3,5,4,4
2023-09-09,6,5,2,3,0,3,8,2,4
2023-09-10,6,4,6,0,2,8,3,9,1
2023-09-11,6,6,1,0,3,5,2,1,1
2023-09-12,6,2,2,0,1,5,2,4,1
2023-09-13,5,3,5,2,1,3,6,6,3
2023-09-14,3,6,0,0,1,2,4,4,5
2023-09-15,3,5,1,1,0,6,2,3,3
2023-09-16,2,2,3,0,2,3,1,5,4
2023-09-17,3,7,7,2,2,5,4,4,8
2023-09-18,4,3,0,0,0,3,3,5,3
2023-09-19,2,7,4,1,1,2,3,5,5
2023-09-20,1,7,1,0,1,3,3,3,5
2023-09-21,2,5,5,1,1,1,3,3,3
2023-09-22,4,4,5,0,0,1,3,5,4
2023-09-23,7,1,5,3,1,6,4,5,3
2023-09-24,3,7,6,1,2,2,1,4,5
2023-09-25,3,4,1,0,0,1,3,2,2
2023-09-26,8,5,2,2,2,5,11,6,6
2023-09-27,3,4,3,2,2,2,3,3,4
2023-09-28,3,5,0,0,1,6,3,9,3
2023-09-29,6,5,5,0,1,6,5,2,6
2023-09-30,5,3,3,2,2,5,4,5,3
2023-10-01,2,7,2,1,1,2,4,6,5
