time,sipa,bluematt,dashjr,bitcoinstats,schnelli,todd,provoost,emzy,wiz
2023-02-22,24.99.0,24.99.0,24.0.1,24.0.1,24.99.0,24.99.0,24.99.0,24.0.1,24.99.0
2023-02-23,24.99.0,24.99.0,22.0.0,24.99.0,24.0.1,24.99.0,24.99.0,24.0.1,24.99.0
2023-02-24,24.0.1,24.99.0,22.99.0,24.0.1,24.99.0,24.0.1,24.0.1,24.0.1,24.0.1
2023-02-25,24.99.0,24.99.0,22.99.0,24.99.0,24.0.1,24.99.0,24.99.0,24.99.0,24.99.0
2023-02-26,24.99.0,24.99.0,22.0.0,24.99.0,24.0.1,24.0.1,24.0.1,24.0.1,24.99.0
2023-02-27,24.0.1,24.99.0,22.0.0,24.0.1,24.99.0,24.99.0,24.0.1,24.0.1,24.99.0
2023-02-28,24.99.0,24.99.0,22.99.0,24.0.1,24.0.1,24.99.0,24.0.1,24.99.0,24.99.0
2023-03-01,24.0.1,24.99.0,24.0.1,24.99.0,24.99.0,24.99.0,24.99.0,24.99.0,24.0.1
2023-03-02,24.0.1,24.99.0,22.0.0,24.99.0,24.0.1,24.0.1,24.0.1,24.0.1,24.99.0
2023-03-03,24.99.0,24.99.0,24.0.1,24.0.1,24.0.1,24.99.0,24.0.1,24.99.0,24.0.1
2023-03-04,24.99.0,24.99.0,22.99.0,24.99.0,24.99.0,24.99.0,24.99.0,24.99.0,24.0.1
2023-03-05,24.0.1,24.99.0,22.99.0,24.0.1,24.0.1,24.99.0,24.99.0,24.99.0,24.99.0
2023-03-06,24.99.0,24.99.0,22.0.0,24.0.1,24.0.1,24.99.0,24.0.1,24.99.0,24.99.0
2023-03-07,24.99.0,24.0.1,22.99.0,24.0.1,24.0.1,24.99.0,24.99.0,24.0.1,24.99.0
2023-03-08,24.0.1,24.0.1,22.0.0,24.0.1,24.0.1,24.99.0,24.99.0,24.99.0,24.99.0
2023-03-09,24.99.0,24.0.1,22.99.0,24.0.1,24.99.0,24.0.1,24.99.0,24.0.1,24.0.1
2023-03-10,24.99.0,24.0.1,22.1.0,24.99.0,24.0.1,24.99.0,24.99.0,24.0.1,24.99.0
2023-03-11,24.0.1,24.99.0,22.0.0,24.0.1,24.0.1,24.0.1,24.0.1,24.99.0,24.0.1
2023-03-12,24.99.0,24.99.0,22.0.0,24.99.0,24.0.1,24.99.0,24.99.0,24.0.1,24.0.1
2023-03-13,24.99.0,24.99.0,22.0.0,24.99.0,24.0.1,24.99.0,24.0.1,24.99.0,24.99.0
2023-03-14,24.99.0,24.99.0,22.0.0,24.99.0,24.99.0,24.99.0,24.0.1,24.99.0,24.99.0
2023-03-15,24.99.0,24.0.1,22.1.0,24.0.1,24.0.1,24.99.0,24.99.0,24.99.0,24.0.1
2023-03-16,24.0.1,24.0.1,22.0.0,,24.0.1,24.99.0,24.0.1,24.0.1,24.0.1
2023-03-17,24.99.0,24.0.1,22.99.0,,24.0.1,24.99.0,24.99.0,24.99.0,24.99.0
2023-03-18,24.99.0,24.99.0,24.0.1,24.99.0,24.99.0,24.99.0,24.99.0,24.99.0,24.0.1
2023-03-19,24.99.0,24.99.0,22.1.0,,24.0.1,24.99.0,24.99.0,24.0.1,24.99.0
2023-03-20,24.99.0,24.99.0,22.0.0,24.0.1,24.0.1,24.0.1,24.0.1,24.0.1,24.99.0
2023-03-21,24.0.1,24.0.1,24.0.1,24.0.1,24.0.1,24.99.0,24.0.1,24.99.0,24.99.0
2023-03-22,24.99.0,24.99.0,22.0.0,24.0.1,24.0.1,24.0.1,24.99.0,24.99.0,24.0.1
2023-03-23,24.0.1,24.99.0,24.0.1,,24.0.1,24.0.1,24.99.0,24.0.1,24.99.0
2023-03-24,24.0.1,24.99.0,22.0.0,24.99.0,24.0.1,24.99.0,24.0.1,24.0.1,24.99.0
2023-03-25,24.0.1,24.99.0,24.0.1,24.99.0,24.0.1,24.0.1,24.99.0,24.0.1,24.99.0
2023-03-26,24.99.0,24.99.0,24.0.1,24.99.0,24.99.0,24.99.0,24.99.0,24.0.1,24.99.0
2023-03-27,24.0.1,24.99.0,22.0.0,24.0.1,24.0.1,24.0.1,24.0.1,24.0.1,24.99.0
2023-03-28,24.99.0,24.99.0,22.0.0,24.99.0,24.0.1,24.0.1,24.0.1,24.0.1,24.99.0
2023-03-29,24.99.0,24.0.1,24.0.1,24.0.1,24.0.1,24.0.1,24.0.1,24.99.0,24.99.0
2023-03-30,24.99.0,24.0.1,22.99.0,24.0.1,24.0.1,24.0.1,24.0.1,24.0.1,24.99.0
2023-03-31,24.0.1,24.0.1,24.0.1,24.0.1,24.99.0,24.99.0,24.0.1,24.0.1,24.99.0
2023-04-01,24.0.1,24.99.0,22.0.0,24.0.1,24.99.0,24.0.1,24.0.1,24.0.1,24.99.0
2023-04-02,24.99.0,24.99.0,22.0.0,24.99.0,24.99.0,24.99.0,24.99.0,24.99.0,24.0.1
2023-04-03,24.0.1,24.99.0,22.0.0,24.0.1,24.0.1,24.99.0,24.0.1,24.0.1,24.99.0
2023-04-04,24.99.0,24.0.1,22.0.0,24.1.0,24.99.0,24.99.0,24.99.0,24.0.1,24.0.1
